Galaxy 	 	[CII]Lum 	 [CII]Lerr 		 [NII]Lum 	 [NII]Lerr 		 fneut 		 fneut_err 	 LTIR 	 		TIRerr 	 		70160 		 70160_err 	 area 		 cosi 	 	SFR 		 SFRerr 		n_e
ngc0628e00	4.91403e+39	4.91835017695e+38	5.2292e+38	1.58665963182e+38	0.62247866772	0.0750832258506	1.337407832e+42		3.71970093395e+40	1.66705872197	0.118658393829	1.53117129006	0.910412868924	0.0759966	0.00278265603461	27.4157360326
ngc2798nuc	4.0559e+41	4.05660579516e+40	2.35769e+40	7.09211554168e+39	0.799879928588	0.0507427872273	2.779856199e+44		8.16172825688e+42	3.36429808033	0.239196781666	19.6606646898	0.360127465313	13.63904324	0.541489879886		77.0894606472
ngc2976e00	4.25369e+39	4.25401646138e+38	1.06237e+38	3.21828030082e+37	0.913707539548	0.0251530798145	1.048222731e+42		3.05790616814e+40	1.99497854063	0.141256080044	0.372233529766	0.419385711488	0.0437183862	0.00162303420853	61.5171467283
ngc3049nuc	6.0399e+40	6.0439038685e+39	2.44389e+39	7.66326114748e+38	0.857484092003	0.0402235562346	2.087240664e+43		5.86059736057e+41	2.71236068848	0.192975347196	10.8883291738	0.643008067601	1.30263536	0.0470072463634		114.550221515
ngc3351nuc	4.43402e+40	4.43442104493e+39	3.37727e+39	1.01420732316e+39	0.718263296332	0.0640511303075	2.598507181e+43		7.54896634249e+41	2.24409537529	0.158959234091	2.57111837407	0.659052349969	1.11519226	0.0426685020162		241.544881568
ngc3521nuc	3.9489e+40	3.94960672185e+39	2.73518e+39	8.25652697383e+38	0.761663413243	0.0577276932207	1.1391161714e+43	3.63451396844e+41	1.13778005748	0.080487332152	3.70505645497	0.431837160667	0.263552768	0.0101515946813		31.4769890835
ngc3627e02	7.64598e+40	7.64639258756e+39	5.25208e+39	1.57673844871e+39	0.762807947306	0.0572524486867	2.453207168e+43		7.12451213783e+41	2.06953507279	0.146676058119	2.59874975412	0.441869554373	1.00231539	0.0394108040663		101.390077265
ngc4254nuc	1.031e+41	1.03105867816e+40	8.44883e+39	2.53970564976e+39	0.717902652325	0.0641573153789	2.723281047e+43		8.49852990941e+41	1.41506239405	0.100095136059	6.12468516026	0.865207706276	0.687905344	0.0260512316282		43.3505794389
ngc4321nuc	1.06513e+41	1.06520598673e+40	1.24784e+40	3.74647387158e+39	0.596441142765	0.0761703398521	4.277320864e+43		1.30472820856e+42	1.67668026978	0.118635503042	6.03991545342	0.844221164743	1.3367554	0.0481595231878         62.5160518549
ngc4536nuc	3.00449e+41	3.0049324256e+40	3.85254e+39	1.16183161838e+39	0.94326728862	0.017002900305	1.090135775e+44		3.24197300407e+42	3.08842880531	0.218690966437	6.21004559676	0.385044640269	4.612524006	0.183769725522          623.734193662
ngc4631nuc	6.70094e+40	6.70110248296e+39	2.22818e+39	6.6932822579e+38	0.883893597893	0.0324913777141	1.642068373e+43		4.92236362297e+41	2.13627868387	0.151127438797	1.71501817621	0.11664450434	0.553366844	0.0216236983864         83.5601378597
ngc4736e01	1.04344e+40	1.04349016839e+39	2.76994e+38	8.37035795213e+37	0.894206475109	0.030111901111	2.873196253e+42		8.70450774636e+40	2.23520640591	0.158157157704	0.641402454987	0.8042653221	0.10502398	0.00367148511355	151.355139103
ngc4826nuc	1.78591e+40	1.78618704657e+39	1.51426e+39	4.54591905349e+38	0.69832297971	0.066661534471	1.1533971456e+43	3.68619766442e+41	1.9408188923	0.13726736763	0.820313794789	0.508643006767	0.226794398	0.00878901156739        96.6048310909   
ngc5055nuc	2.27127e+40	2.27154723157e+39	2.27269e+39	6.8290626631e+38	0.638698408101	0.0730803765684	1.1594757736e+43	3.82333601507e+41	1.35519068717	0.0958674481847	1.86208623346	0.564905386609	0.167750868	0.00637742336775        19.81492106     
ngc5457nuc	5.30096e+39	5.30269871604e+38	1.00855e+39	3.03934722813e+38	0.3444362091	0.208159082436	1.639159265e+42		5.12874227469e+40	1.30523444414	0.0925788960844	1.32589273169	0.93010360086	0.046940654	0.00164659361529        0.277113711838  
ngc5713nuc	3.39631e+41	3.39652183031e+40	1.50553e+40	4.52449622201e+39	0.84740230475	0.0409566140637	1.305735363e+44		3.81512796556e+42	2.45786256071	0.174107387589	13.4886295933	0.886167426807	5.55239182	0.21541398878           77.2664809293   
ngc5866nuc	2.2411e+40	2.24407599784e+39	4.35476e+39	1.31673460829e+39	0.16307148579	0.043470754329	2.4269938252e+43	8.32708659427e+41	1.35963073852	0.0964547941911	6.9141953567	0.399609462489	0.17561581	0.00674939066014        8.87143920696   
ngc7331nuc	7.60242e+40	7.60351344244e+39	9.19424e+39	2.76082494074e+39	0.562408525756	0.0778912406383	2.328303135e+43		7.49002899131e+41	1.37275930749	0.0970956496224	6.21004559676	0.299348250371	0.434652988	0.0169644924538		15.4523430515
