Galaxy 	 RA 	 Dec 	 n 	 [CII]Lum 	 [CII]Lerr 	 [NII]Lum 	 [NII]Lerr 	 fneut 	 fneut_err 	 LTIR 	 TIRerr 	 70160 	 70160_err 	 area 	 cosi 	 SFR 	 SFRerr 	 [OI]Lum 	 [OI]Lerr	 log10(G0) 	 err_log10(G0) 	 log10(n) 	 errlog10(n) 
ngc4631nuc	190.532	32.5431	83.5601378597	6.70094e+40	6.70110248296e+39	2.22818e+39	6.6932822579e+38	0.8838935978929999	0.0324913777141	1.6420683730000002e+43	4.9223636229700005e+41	2.13627868387	0.151127438797	1.7150181762099999	0.11664450434000001	0.553366844	0.021623698386400002	1.602e+40	3.22615e+37	0.46447693	0.630818650021	3.70970192	0.42514477009900004
ngc4736e01	192.735	41.1192	151.355139103	1.04344e+40	1.04349016839e+39	2.7699400000000003e+38	8.370357952129999e+37	0.8942064751090001	0.030111901110999997	2.873196253e+42	8.70450774636e+40	2.23520640591	0.15815715770400002	0.641402454987	0.8042653220999999	0.10502398	0.00367148511355	3.3872e+39	1.26723e+37	1.18062496	0.564181653069	3.47527779	0.31285699679699996
ngc4826nuc	194.18099999999998	21.6842	96.6048310909	1.7859100000000002e+40	1.78618704657e+39	1.51426e+39	4.5459190534899994e+38	0.69832297971	0.06666153447100001	1.1533971456000001e+43	3.68619766442e+41	1.9408188922999998	0.13726736763	0.820313794789	0.508643006767	0.226794398	0.008789011567389999	5.84474e+39	1.8223100000000002e+37	2.75	0.516998723609	2.57876436	0.322678557105
ngc5055nuc	198.954	42.0289	19.81492106	2.27127e+40	2.27154723157e+39	2.27269e+39	6.8290626631e+38	0.638698408101	0.0730803765684	1.1594757736e+43	3.82333601507e+41	1.3551906871700001	0.0958674481847	1.86208623346	0.5649053866089999	0.167750868	0.00637742336775	4.82558e+39	4.37616e+37	2.5	0.23549531794300002	2.30074772	0.262123256495
ngc5457nuc	210.803	54.3478	0.277113711838	5.3009600000000005e+39	5.30269871604e+38	1.0085500000000001e+39	3.03934722813e+38	0.34443620909999995	0.208159082436	1.639159265e+42	5.128742274690001e+40	1.30523444414	0.09257889608439998	1.32589273169	0.9301036008600001	0.046940654000000005	0.00164659361529	9.88671e+38	1.39816e+37	0.27571102	0.7400912343539999	4.09961217	0.429531119145
ngc5713nuc	220.047	-0.28944000000000003	77.2664809293	3.39631e+41	3.39652183031e+40	1.50553e+40	4.5244962220099996e+39	0.8474023047499999	0.04095661406369999	1.3057353630000001e+44	3.81512796556e+42	2.4578625607099998	0.17410738758900002	13.488629593299999	0.886167426807	5.55239182	0.21541398878	1.6469e+41	3.90117e+38	2.2710391	0.197779474124	3.0	0.11384920465199999
ngc5866nuc	226.623	55.7622	8.871439206960002	2.2411e+40	2.24407599784e+39	4.35476e+39	1.31673460829e+39	0.16307148579000003	0.043470754329	2.4269938252e+43	8.327086594269999e+41	1.35963073852	0.09645479419110001	6.9141953567	0.399609462489	0.17561581	0.00674939066014	5.0468000000000005e+39	1.94241e+38	3.8533322	0.416391985282	3.0	0.30194192936500003
ngc7331nuc	339.267	34.4147	15.452343051500002	7.60242e+40	7.603513442440001e+39	9.194240000000001e+39	2.76082494074e+39	0.562408525756	0.0778912406383	2.3283031350000003e+43	7.490028991310001e+41	1.3727593074899997	0.0970956496224	6.21004559676	0.299348250371	0.43465298799999996	0.0169644924538	1.30826e+40	1.7761500000000006e+38	2.39349092	0.221350568676	2.5	0.207688766499
NGC2798a	139.34624	41.99994	0.420634842065	2.0213597806e+41	2.0278050628900002e+40	6.08454940361e+39	7.012894928800001e+38	0.868262953282	0.017477745315599997	6.15931334222e+43	2.10210359098e+42	2.7709789495200003	0.210689586247	19.6606646898	0.34202014332599995	1.63115460162	0.0644259228289	1.1416176993926983e+41	1.1495896439979985e+40	2.38945562	0.369647653821	3.25	0.19344976736400002
NGC2976a	146.7847	67.93109	1.0814083417	2.73428688548e+39	2.73872092529e+38	6.3301102383e+37	9.98684496256e+36	0.900335631564	0.0167687247092	4.26337110365e+41	1.29259056533e+40	1.44121939355	0.10273381075999999	0.372233529766	0.422618261741	0.0144503881111	0.00054239674254	7.443781990291242e+38	7.784193306657621e+37	1.89913958	0.509761417884	3.0	0.25497543439599996
